Position_mm,FFT_Width,Filename
207.6,22.11102250499394,-173.csv
207.7,22.098818102898413,-172.csv
207.8,22.074589220621508,-171.csv
207.9,22.063048248499133,-170.csv
208.0,22.050058753542935,-169.csv
208.1,22.005427173421204,-168.csv
208.2,21.99232263120114,-167.csv
208.3,21.961982563960632,-166.csv
208.4,21.94078836645089,-165.csv
208.5,21.920269312565967,-164.csv
208.6,21.913270852107992,-163.csv
208.7,21.880034176356737,-162.csv
208.8,21.862239882855377,-161.csv
208.9,21.844217429638903,-160.csv
209.0,21.826595438610426,-159.csv
209.1,21.81868700545428,-158.csv
209.2,21.805307118702956,-157.csv
209.3,21.788949217524287,-156.csv
209.4,21.761575725621825,-155.csv
209.5,21.74773793589243,-154.csv
209.6,21.738782944394874,-153.csv
209.7,21.726305003200018,-152.csv
209.8,21.761575725621825,-151.csv
209.9,21.684068100271574,-150.csv
210.0,21.682111384994155,-149.csv
210.1,21.65190333796842,-148.csv
210.2,21.644064534754055,-147.csv
210.3,21.617755170312154,-146.csv
210.4,21.599797285359976,-145.csv
210.5,21.585776877334883,-144.csv
210.6,21.56527740138707,-143.csv
210.7,21.554970039154902,-142.csv
210.8,21.54705672038311,-141.csv
210.9,21.51580064662298,-140.csv
211.0,21.485710421790472,-139.csv
211.1,21.536651531977725,-138.csv
211.2,21.445573041110993,-137.csv
211.3,21.429836719291277,-136.csv
211.4,21.409553667398207,-135.csv
211.5,21.396216199313393,-134.csv
211.6,21.37750759365161,-133.csv
211.7,21.362551524068856,-132.csv
211.8,21.344250917625743,-131.csv
211.9,21.331768470528875,-130.csv
212.0,21.314071436735937,-129.csv
212.1,21.29949083444104,-128.csv
212.2,21.285252119972707,-127.csv
212.3,21.269098541526066,-126.csv
212.4,21.25346801183514,-125.csv
212.5,21.235419549928523,-124.csv
212.6,21.218880119381375,-123.csv
212.7,21.20134517179133,-122.csv
212.8,21.18429238706994,-121.csv
212.9,21.167993875082644,-120.csv
213.0,21.149841489173596,-119.csv
213.1,21.13070529143076,-118.csv
213.2,21.128772213562655,-117.csv
213.3,21.094944629305434,-116.csv
213.4,21.075045256303206,-115.csv
213.5,21.074639082923433,-114.csv
213.6,21.041862735304196,-113.csv
213.7,21.033241384212015,-112.csv
213.8,21.02589343039168,-111.csv
213.9,20.99636854262348,-110.csv
214.0,20.982286640165817,-109.csv
214.1,20.978723828361648,-108.csv
214.2,20.95041299092756,-107.csv
214.3,20.938913803176376,-106.csv
214.4,20.91770642088467,-105.csv
214.5,20.910280603706042,-104.csv
